,ano,estado_ibge,quantidade,valor_em_reais,estado,pib,codigo,area,população,idh,receita,despesa
220,2007,51,37,1949789.59,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
221,2008,51,34,1340022.46,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
222,2009,51,21,1772717.06,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
223,2010,51,42,1921992.84,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
224,2011,51,57,4034516.87,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
225,2012,51,24,2119145.372,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
226,2013,51,32,1986709.95,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
227,2003,52,72,4377431.97,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
228,2004,52,85,4573416.55,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
229,2005,52,122,3255424.82,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
230,2006,52,106,4780833.52,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
231,2007,52,101,4116784.0,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
232,2008,52,123,4007510.08,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
233,2009,52,79,3530510.64,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
234,2010,52,104,5350966.1,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
235,2011,52,129,8526974.29,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
236,2012,52,100,7611642.71,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
237,2013,52,109,3825082.75,GO,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
238,2003,53,172,16612977.06,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
239,2004,53,233,9728327.11,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
240,2005,53,229,11007726.27,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
241,2007,53,229,18349576.93,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
242,2008,53,174,20382329.37,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
243,2009,53,151,29946493.3,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
244,2010,53,179,23788665.02,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
245,2006,53,236,18790543.277,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
246,2011,53,210,23397498.38,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
247,2012,53,134,15871164.88,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
248,2013,53,146,11646268.29,DF,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
249,2004,23,76,6446545.15,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
250,2005,23,94,7526351.2,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
251,2006,23,101,10883607.18,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
252,2007,23,109,8850204.55,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
253,2008,23,101,11341428.19,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
254,2009,23,119,13760618.76,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
255,2010,23,119,16340775.46,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
256,2003,23,52,5510544.74,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
257,2011,23,168,16523774.47,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
258,2012,23,125,13880272.54,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
259,2013,23,131,10902055.09,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
260,2005,33,1319,198598718.2,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
261,2009,33,1371,278573489.63,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
262,2010,33,1885,270918973.531,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
263,2003,33,1082,114527695.1,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
264,2004,33,1181,120210957.909,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
265,2006,33,1485,207813166.38,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
266,2007,33,1451,226644756.413,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
267,2008,33,1546,231060035.75,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
268,2011,33,1908,351462546.21,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
269,2012,33,1396,333485175.72,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
270,2013,33,1326,289040661.34,RJ,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
271,2005,43,384,49305232.89,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
272,2009,43,417,56172592.58,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
273,2010,43,537,69147505.12,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
274,2003,43,179,24521444.14,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
275,2004,43,266,39834566.98,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
276,2006,43,418,48775920.01,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
277,2007,43,471,59722687.04,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
278,2008,43,467,59783943.57,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
279,2011,43,525,72510630.59,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
280,2012,43,462,64295433.56,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
281,2013,43,567,71054784.68,RS,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
282,2009,35,1866,399415971.79,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
283,2003,35,1231,169157089.33,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
284,2004,35,1450,215266739.06,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
285,2005,35,1782,290287724.34,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
286,2006,35,2013,360753874.16,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
287,2007,35,1847,442010567.973,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
288,2008,35,2055,415104537.89,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
289,2010,35,2385,492106132.72,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
290,2011,35,2586,571786989.08,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
291,2012,35,2089,563265073.69,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
292,2013,35,2062,506570766.96,SP,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
